11/10/2021 10:21:41 WebMVC		|	WebMVC Customizer - Check for customization (C: Catalog, M: Index)
11/10/2021 10:21:41 TenantManager	|	Checking for tenant customization (C: Catalog, M: Index)
11/10/2021 10:21:41 TenantManager	|	Customization was found (C: Catalog, M: Index)
11/10/2021 10:21:41 WebMVC		|	WebMVC Customizer - run customization (C: Catalog, M: Index)
11/10/2021 10:21:41 Catlog Customization|	Get catalog from core BL services
11/10/2021 10:21:41 Catalog API		|	Get catalog
11/10/2021 10:21:41 Catlog Customization|	Return Custom Catalog View
11/10/2021 10:21:41 WebMVC		|	WebMVC Customizer - return customized HTML view (C: Catalog, M: Index)
11/10/2021 10:21:51 WebMVC		|	WebMVC Customizer - Check for customization (C: Catalog, M: Index)
11/10/2021 10:21:51 TenantManager	|	Checking for tenant customization (C: Catalog, M: Index)
11/10/2021 10:21:51 TenantManager	|	Customization was found (C: Catalog, M: Index)
11/10/2021 10:21:51 WebMVC		|	WebMVC Customizer - run customization (C: Catalog, M: Index)
11/10/2021 10:21:51 Catlog Customization|	Get catalog from core BL services
11/10/2021 10:21:51 Catalog API		|	Get catalog
11/10/2021 10:21:51 Catlog Customization|	Return Custom Catalog View
11/10/2021 10:21:51 WebMVC		|	WebMVC Customizer - return customized HTML view (C: Catalog, M: Index)
11/10/2021 10:23:54 WebMVC		|	WebMVC Customizer - Check for customization (C: Catalog, M: Index)
11/10/2021 10:23:54 TenantManager	|	Checking for tenant customization (C: Catalog, M: Index)
11/10/2021 10:23:54 TenantManager	|	Customization was found (C: Catalog, M: Index)
11/10/2021 10:23:54 WebMVC		|	WebMVC Customizer - run customization (C: Catalog, M: Index)
11/10/2021 10:23:54 Catlog Customization|	Get catalog from core BL services
11/10/2021 10:23:54 Catalog API		|	Get catalog
11/10/2021 10:23:54 Catlog Customization|	Return Custom Catalog View
11/10/2021 10:23:54 WebMVC		|	WebMVC Customizer - return customized HTML view (C: Catalog, M: Index)
11/10/2021 10:24:00 WebMVC		|	View customizations
11/10/2021 10:24:00 TenantManager	|	Get all teant customiations
11/10/2021 10:24:00 WebMVC		|	Display customization
11/10/2021 10:24:10 WebMVC		|	View single customization
11/10/2021 10:24:10 TenantManager	|	Get customizations for tenat id: 1
11/10/2021 10:24:10 WebMVC		|	Display single customization
